site,sens_circulation,latitude,longitude,volume_total
Echangeur Pikine,Entrant,14.7549,-17.3900,187400
Peage Autoroute Pikine,Sortant,14.7480,-17.3950,164200
VDN x Liberte 6,Entrant,14.7150,-17.4650,142800
Front de Terre,Sortant,14.7100,-17.4450,128600
Rond-point Liberte 5,Entrant,14.7000,-17.4600,98700
Pont Hann-Marinas,Sortant,14.7250,-17.4300,86300
Corniche Ouest Fann,Entrant,14.6900,-17.4750,71200
Aeroport LSS,Sortant,14.7397,-17.4900,54600
Rufisque Centre,Entrant,14.7167,-17.2667,63800
Keur Massar Carrefour,Sortant,14.7850,-17.3200,79500
Guediawaye Carrefour,Entrant,14.7700,-17.4100,112400
Yeumbeul Marche,Sortant,14.7700,-17.3600,68900
