zone,latitude,longitude,flux_total
Plateau,14.6668,-17.4319,24500
Medina,14.6809,-17.4409,15200
Grand Dakar,14.7050,-17.4467,17800
HLM,14.7013,-17.4514,12600
Grand Yoff,14.7280,-17.4550,19300
Parcelles Assainies,14.7550,-17.4300,16700
Patte d'Oie,14.7250,-17.4700,9800
Ouakam,14.7186,-17.4890,7200
Ngor,14.7469,-17.5122,4100
Yoff,14.7519,-17.4820,8600
Mermoz-Sacre Coeur,14.7075,-17.4750,10400
Camberene,14.7550,-17.4550,6300
Pikine,14.7549,-17.3900,22100
Guediawaye,14.7700,-17.4100,18400
Thiaroye,14.7650,-17.3700,9700
Yeumbeul,14.7700,-17.3600,7900
Keur Massar,14.7850,-17.3200,11500
Rufisque,14.7167,-17.2667,13200
Bargny,14.6980,-17.2270,3400
Diamniadio,14.7180,-17.1830,2600
