Zone/Strate;Probabilité risque moy.;Nb ménages;% ménages à risque;Score inondation moy.;% enclavement déclaré;% manque routes;Durée accès santé (min);Nb TC disponibles moy.;Rang risque;Niveau risque
DALIFORD;0.68407065;70;0.7;1.7142857142857142;0.6285714285714286;0.9428571428571428;15.757142857142858;1.7857142857142858;1;ÉLEVÉ
MEDINA/GOUNASS;0.6422047;70;0.8;1.9857142857142858;0.9142857142857143;0.9285714285714286;11.985714285714286;4.128571428571429;2;MODÉRÉ
THIAROYE SUR MER;0.64037067;70;0.7142857142857143;1.7857142857142858;0.8;0.9285714285714286;13.557142857142857;2.757142857142857;3;MODÉRÉ
BAMBYLOR/SANGALKAM;0.63018167;70;0.6571428571428571;0.6857142857142857;0.44285714285714284;0.9714285714285714;15.1;5.314285714285714;4;MODÉRÉ
JAXAAY PARCELLE NIAKOUL RAP TIVAOUANE PEULH-NIAGHA;0.61567456;70;0.6142857142857143;0.6428571428571429;0.42857142857142855;0.9571428571428572;14.82857142857143;4.742857142857143;5;MODÉRÉ
MALIKA/YEUMBEUL NORD;0.6030062;145;0.6344827586206897;1.3241379310344827;0.7103448275862069;0.9172413793103448;15.420689655172414;3.9586206896551723;6;MODÉRÉ
DIAMNIADIO/SEBIKOTANE;0.58838797;70;0.6142857142857143;1.2571428571428571;0.6285714285714286;0.9714285714285714;15.0;4.114285714285714;7;MODÉRÉ
DJIDAH/THIAROYE/KAO/YEUMB SUD;0.5803913;139;0.6330935251798561;1.4676258992805755;0.8057553956834532;0.7553956834532374;11.158273381294965;3.1366906474820144;8;MODÉRÉ
KEUR MASSAR;0.5781086;145;0.5862068965517241;1.303448275862069;0.6482758620689655;0.7103448275862069;14.682758620689656;4.731034482758621;9;MODÉRÉ
DIACK SAO/THIAROYE GARE;0.5298535;70;0.5285714285714286;2.1714285714285713;0.42857142857142855;0.9571428571428572;12.057142857142857;3.4857142857142858;10;MODÉRÉ
DIAMAGUENE/SICAP M’BAO;0.48250005;101;0.44554455445544555;2.1782178217821784;0.5148514851485149;0.5841584158415841;13.405940594059405;4.396039603960396;11;MODÉRÉ
SENDOU/YENE;0.47739935;70;0.5;0.5714285714285714;0.5571428571428572;0.6571428571428571;12.714285714285714;5.942857142857143;12;MODÉRÉ
